epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4488.84,1.04021,1.06314,1.20885,0.48706,0.43664,0.41219,0.23972,1.61649,1.81861,1.66959,0.00055188,0.00055188,0.00055188
64,4559.67,1.04238,1.07364,1.20422,0.5251,0.41858,0.43868,0.26445,1.59757,1.71211,1.66898,0.000537733,0.000537733,0.000537733
65,4631.05,1.04009,1.04292,1.20169,0.44895,0.45978,0.40634,0.24065,1.60613,1.79867,1.6602,0.000523586,0.000523586,0.000523586
66,4701.94,1.02526,1.01957,1.19739,0.5083,0.4622,0.42821,0.25472,1.60872,1.76401,1.67035,0.000509438,0.000509438,0.000509438
67,4772.7,1.00391,1.01968,1.19155,0.50336,0.46293,0.42847,0.2558,1.63218,1.75061,1.69879,0.000495291,0.000495291,0.000495291
68,4843.48,1.00871,0.99577,1.18297,0.45889,0.45483,0.41618,0.24524,1.60602,1.78021,1.68461,0.000481144,0.000481144,0.000481144
69,4914.58,1.00728,0.99189,1.1786,0.47787,0.4656,0.4054,0.2384,1.60627,1.81787,1.67467,0.000466997,0.000466997,0.000466997
70,4985.51,1.00196,0.98631,1.16942,0.46274,0.47451,0.42528,0.25405,1.57424,1.77356,1.65576,0.00045285,0.00045285,0.00045285
71,5056.48,0.98531,0.95492,1.16219,0.4938,0.4752,0.42232,0.24699,1.60257,1.77773,1.6962,0.000438703,0.000438703,0.000438703
72,5127.38,0.952,0.92911,1.15192,0.49266,0.44715,0.41346,0.25265,1.5859,1.78216,1.67214,0.000424556,0.000424556,0.000424556
73,5198.51,0.96903,0.9208,1.15004,0.49749,0.41553,0.39948,0.24639,1.57661,1.83945,1.65418,0.000410409,0.000410409,0.000410409
74,5269.28,0.9682,0.9331,1.15777,0.48462,0.45163,0.41798,0.25357,1.59037,1.78475,1.65721,0.000396262,0.000396262,0.000396262
75,5340.38,0.96521,0.913,1.15296,0.48546,0.43295,0.40799,0.2491,1.59036,1.80327,1.68497,0.000382115,0.000382115,0.000382115
76,5411.48,0.9465,0.89099,1.13896,0.53609,0.4408,0.42215,0.25491,1.57232,1.80582,1.66344,0.000367967,0.000367967,0.000367967
77,5482.57,0.94653,0.88234,1.14324,0.49982,0.45641,0.4217,0.25931,1.58132,1.77834,1.67439,0.00035382,0.00035382,0.00035382
78,5553.72,0.93327,0.86708,1.13425,0.51247,0.4588,0.4187,0.25131,1.59584,1.84899,1.69168,0.000339673,0.000339673,0.000339673
79,5624.96,0.94182,0.86472,1.14185,0.47961,0.46387,0.41005,0.24589,1.58912,1.80965,1.66951,0.000325526,0.000325526,0.000325526
80,5696.07,0.91773,0.85168,1.12073,0.51404,0.44696,0.42176,0.25564,1.58215,1.79315,1.66971,0.000311379,0.000311379,0.000311379
81,5767,0.93491,0.84842,1.12969,0.54914,0.40782,0.42148,0.2529,1.59957,1.81363,1.69161,0.000297232,0.000297232,0.000297232
82,5837.97,0.9345,0.85092,1.13168,0.51637,0.4461,0.4137,0.2507,1.6044,1.84585,1.69945,0.000283085,0.000283085,0.000283085
83,5908.95,0.93497,0.83577,1.12987,0.5184,0.43127,0.41939,0.2521,1.6152,1.88714,1.71559,0.000268938,0.000268938,0.000268938
84,5981.13,0.90859,0.8041,1.12026,0.53007,0.42946,0.41226,0.24691,1.58911,1.89587,1.67281,0.000254791,0.000254791,0.000254791
